SDSS_name,objID,NL_pred,env_label
SDSS J115311.61+530814.0,1237657857683226740,0.95,F
SDSS J105812.25+073418.0,1237658300073574514,0.95,F
SDSS J105750.72+080238.1,1237658300610379969,0.96,F
SDSS J100557.07+551542.3,1237658303276646520,0.98,F
SDSS J132007.68+013301.2,1237651735228842040,0.95,F
SDSS J093245.32+333821.8,1237661137418911882,0.96,F
SDSS J131057.21+495135.1,1237661151915868250,0.89,Sh
SDSS J083024.89+514212.2,1237651495224475805,0.98,V
SDSS J120911.48+024332.1,1237651736831721576,0.87,V
SDSS J112626.09+025557.8,1237651754543546529,0.97,F
SDSS J123356.43+593429.9,1237655107841884268,0.98,Sh
SDSS J085705.65+400049.3,1237657775542698092,0.86,
SDSS J104516.11+495247.5,1237657856604700755,0.99,F
SDSS J142505.41+454729.0,1237658205057646794,0.92,Sh
SDSS J091058.79+075218.8,1237658493871652949,0.95,Sh
SDSS J143103.01+535818.3,1237661418750542003,0.91,F
SDSS J160130.42-001712.4,1237648704065175831,0.98,
SDSS J092209.74-003222.4,1237648720676585591,0.91,
SDSS J120733.37+640100.8,1237651065205096547,0.98,
SDSS J161314.88+485137.1,1237651251513852008,0.98,
SDSS J093249.25+622012.3,1237651540315013214,0.97,
SDSS J094913.51+011039.9,1237651752922251498,0.95,F
SDSS J090211.33+032944.1,1237654605851853112,0.95,F
SDSS J120734.79+602602.3,1237655108914184208,0.94,
SDSS J033857.32-000222.4,1237657586030346269,0.95,
SDSS J105609.61+472332.9,1237658611979321443,0.98,C
SDSS J231326.87+151236.3,1237652944244113687,0.94,
SDSS J093552.51+040100.5,1237654605855588469,0.85,Sh
SDSS J142056.54+035217.4,1237654879663423588,0.95,Sh
SDSS J150054.67+554543.9,1237655464851800157,0.98,F
SDSS J162643.46+435323.5,1237655474503549028,0.89,
SDSS J205641.65-004906.1,1237656567575937452,0.99,
SDSS J121319.98+505902.6,1237658614132506683,0.97,F
SDSS J162200.19+402652.3,1237659325491838985,0.98,
SDSS J094458.28+385711.3,1237660765918527602,0.91,Sh
SDSS J150058.90+502737.9,1237661387608359085,0.92,V
SDSS J153111.22+465756.0,1237661387611046021,0.94,C
SDSS J230931.06+150025.1,1237652944243720398,0.99,
SDSS J140525.26-004840.8,1237648703515590916,0.98,
SDSS J104804.38+652404.7,1237651272433336485,0.98,
SDSS J075647.50+455316.2,1237651496831615081,0.88,
SDSS J085340.72+013348.6,1237651753989964118,0.91,C
SDSS J114722.90+601801.6,1237655108913070115,0.98,
SDSS J103027.55+573919.8,1237658304352157807,0.94,C
SDSS J113223.25+545858.7,1237658802571903121,0.85,F
SDSS J144118.80+494252.2,1237659132746596476,0.87,Sh
SDSS J145426.63+531302.8,1237659149385924732,0.98,Sh
SDSS J080710.28+242321.2,1237660764833710384,0.87,
SDSS J110436.95+450730.7,1237661356464865320,0.95,F
SDSS J030817.66-080458.1,1237649961916956774,0.94,
SDSS J102043.33+651019.4,1237651273505898538,0.99,
SDSS J111112.52+030434.3,1237654030863827099,0.96,F
SDSS J154327.83+511852.9,1237655465392013480,0.87,
SDSS J141632.04-011055.7,1237655693547339997,0.95,
SDSS J091912.27+485804.0,1237657634872098922,0.98,F
SDSS J105505.92+493625.7,1237657855531548794,0.94,Sh
SDSS J081825.78+295734.3,1237658191610183938,0.91,
SDSS J121613.82+595841.8,1237658311867105314,0.93,F
SDSS J122000.88+560704.2,1237657591934025805,0.96,F
SDSS J112202.09+082337.8,1237658425169018993,0.95,F
