SDSS_name,objID,L_pred
SDSS J160513.08+302759.7,1237661463841669377,0.99
SDSS J141934.02+402010.3,1237661850405437620,0.97
SDSS J154832.60+083516.4,1237661950813929492,0.9
SDSS J135943.14+402312.0,1237662195608453157,0.95
SDSS J094227.20+032049.6,1237654604782502118,0.98
SDSS J135109.16+082852.9,1237662262703095941,0.97
SDSS J152033.65+075712.1,1237662264860213600,0.91
SDSS J125203.52+514048.1,1237662301354917944,0.99
SDSS J141231.71+131817.0,1237662530065727504,0.96
SDSS J224645.65+003828.0,1237663544224841930,0.94
SDSS J084510.23+255741.7,1237664092899705045,0.98
SDSS J084306.64+264821.1,1237664093973512230,0.92
SDSS J104306.55+351917.9,1237664819279626352,0.96
SDSS J153402.18+272026.7,1237664853651489069,0.98
SDSS J113112.50+341210.9,1237665024900661393,0.99
SDSS J154543.12+225243.1,1237665101683490854,0.99
SDSS J160512.87+203232.6,1237665101685719092,0.99
SDSS J154833.82+225820.3,1237665128027521195,0.98
SDSS J130755.34+345510.0,1237665129085141019,0.99
SDSS J143900.01+304850.4,1237665129630531671,0.95
SDSS J171224.85+352643.8,1237654953745973741,0.93
SDSS J131947.66+304934.6,1237665329321082896,0.86
SDSS J104300.39+290604.4,1237665367430529114,0.98
SDSS J160116.33+174040.1,1237665428108607677,0.98
SDSS J131047.64+294235.6,1237665429164589223,0.98
SDSS J135939.34+280340.3,1237665429169307667,0.99
SDSS J145005.23+213227.6,1237665567683969107,0.94
SDSS J022938.60+002313.5,1237666408458813654,0.98
SDSS J100302.19+393939.1,1237660773419581542,0.96
SDSS J095603.97+102955.8,1237661065489809425,0.96
SDSS J114152.18+023455.1,1237651754008313972,0.99
SDSS J093738.57+351342.3,1237661138493374514,0.99
SDSS J154925.25+425753.6,1237661386539466940,0.91
SDSS J170109.89+204023.9,1237661464922358378,0.97
SDSS J124317.30+111241.5,1237661815485825096,0.97
SDSS J171307.74+293006.5,1237655374653096326,0.95
SDSS J101855.63+403646.5,1237661850922713103,0.98
SDSS J150013.69+095615.9,1237661950271815836,0.95
SDSS J104828.12+381738.5,1237662225670340756,0.99
SDSS J141930.19+072721.1,1237662262169305385,0.92
SDSS J165546.32+265648.1,1237662303524880897,0.9
SDSS J155956.03+335931.9,1237662473692577876,0.96
SDSS J151334.17+415731.4,1237662498391261224,0.99
SDSS J150017.88+112036.0,1237662529534034056,0.89
SDSS J144640.71+123618.3,1237662530606203025,0.93
SDSS J082501.10+552922.7,1237663547977236488,0.95
SDSS J083258.28+614814.5,1237663918418034704,0.96
SDSS J101434.72+115158.4,1237664104706408614,0.95
SDSS J134928.94+135237.5,1237664290474819709,0.98
SDSS J101846.09+345001.6,1237664667361148958,0.99
SDSS J130016.13+361514.8,1237664672178962550,0.98
SDSS J111415.25+340915.7,1237665016850677837,0.94
SDSS J150103.84+233626.6,1237665428638793824,0.95
SDSS J161122.50+174101.4,1237665534932484308,0.97
SDSS J154920.30+161721.0,1237665566616781116,0.98
SDSS J012106.66-003153.2,1237666338653733108,0.98
SDSS J093737.65+231426.6,1237667211050221621,0.97
SDSS J125628.57+271728.5,1237667323260567649,0.95
SDSS J102751.77+160907.6,1237668496310796374,0.98
SDSS J120320.48+163036.2,1237668623010693183,0.99
SDSS J115136.27+000001.9,1237674650464616595,0.96
SDSS J024157.07+011409.0,1237678617972441241,0.92
SDSS J150442.83+190227.2,1237667966958960736,0.92
SDSS J110338.68+191943.2,1237668289625063491,0.85
SDSS J122014.32+172048.1,1237668624086204494,0.97
SDSS J123305.31+172411.2,1237668624087580715,0.99
SDSS J164002.32+434137.4,1237671934428774446,0.97
SDSS J092308.12+022909.9,1237673708796248241,0.99
SDSS J004151.69+325928.3,1237680311769956388,0.97
SDSS J134652.27+174154.5,1237668270826586119,0.99
SDSS J143548.99+160109.3,1237668297144598609,0.97
SDSS J122808.66+201046.2,1237668298204905538,0.98
SDSS J134652.67+161622.2,1237668314845610120,0.97
SDSS J140734.20+160618.7,1237668315384643798,0.86
SDSS J094710.65+141717.6,1237671261741449440,0.99
SDSS J135153.85-020616.5,1237671958594650256,0.92
SDSS J142724.45+030420.1,1237651821099155632,0.92
SDSS J082812.32+083850.3,1237671123220103629,0.92
SDSS J124839.66+050632.2,1237671265498955944,0.85
SDSS J092221.50+040340.5,1237674462026399957,0.96
SDSS J080127.06+261419.7,1237657877540766082,0.87
SDSS J120908.81+440011.5,1237661849857949727,0.96
SDSS J135601.44+423306.5,1237661872948052220,0.92
SDSS J112332.99+450247.7,1237661874009866345,0.96
SDSS J162501.80+230403.3,1237662226238537852,0.97
SDSS J131508.38+092055.4,1237662263236034734,0.87
SDSS J101918.10+454848.9,1237658204502556786,0.96
SDSS J143508.76+052132.6,1237662266459488385,0.98
SDSS J141802.23+064830.3,1237662268068200631,0.97
SDSS J142237.19+473633.4,1237662301361537250,0.94
SDSS J132601.91+511807.2,1237662301894082719,0.98
SDSS J150127.98+313815.0,1237662661600280815,0.95
SDSS J074005.25+435402.3,1237663547971207612,0.97
SDSS J002455.44+003148.6,1237663716017045598,0.99
SDSS J003934.83+005135.8,1237663716555554832,0.98
SDSS J010116.81-010551.9,1237663782593495259,0.98
SDSS J110542.28+350704.4,1237664817670979654,0.95
SDSS J122118.22+324239.8,1237665227305582615,0.98
SDSS J132800.49+301252.9,1237665328784998502,0.91
SDSS J114745.75+321904.2,1237665330386239637,0.98
SDSS J155945.80+184803.9,1237665429181956230,0.96
