SDSS_name,objID,S_pred
SDSS J141632.04-011055.7,1237655693547339997,0.76
SDSS J105505.92+493625.7,1237657855531548794,0.8
SDSS J081825.78+295734.3,1237658191610183938,0.73
SDSS J073952.17+294413.2,1237657609103802583,0.59
SDSS J095952.32+375431.2,1237661384384839911,0.81
SDSS J092707.38+423417.2,1237657628442230822,0.84
SDSS J222700.94-081847.0,1237656539123548316,0.53
SDSS J204523.36+002933.1,1237656569185305092,0.8
SDSS J112904.95+553251.8,1237657591930880120,0.65
SDSS J135805.47+482912.2,1237658206129094813,0.58
SDSS J122500.28+400926.3,1237662225141661801,0.6
SDSS J102016.72+011214.6,1237648722830426252,0.66
SDSS J022820.86+004114.0,1237657587096354933,0.52
SDSS J160105.26+401817.2,1237659161200951530,0.78
SDSS J155650.85+454024.3,1237659326025629948,0.65
SDSS J130531.80+501827.4,1237661152452345923,0.73
SDSS J142401.73+451319.2,1237661210970554519,0.63
SDSS J123059.35+465221.1,1237661433772310663,0.55
SDSS J123100.32+423137.1,1237661967431041149,0.83
SDSS J083134.68+465348.1,1237654383047999617,0.51
SDSS J101913.96+052705.2,1237658422477783145,0.81
SDSS J115515.56+552108.6,1237658802573344864,0.79
SDSS J093136.49+065708.6,1237660583366426764,0.51
SDSS J110130.54+120747.5,1237661950246191197,0.76
SDSS J122532.61+080301.5,1237661972259930245,0.62
SDSS J143155.91+083815.7,1237662238017585296,0.79
SDSS J141311.60+130013.2,1237662529528922231,0.53
SDSS J023840.13+002903.2,1237663784751595756,0.82
SDSS J074710.81+502132.5,1237663788491145415,0.75
SDSS J105200.25+035009.0,1237654600495333522,0.7
SDSS J111753.10+543848.7,1237657591393222782,0.84
SDSS J111328.25+102909.5,1237658493884956823,0.79
SDSS J155618.32+432443.1,1237659163347255502,0.54
SDSS J155007.63+461123.0,1237659329774223554,0.63
SDSS J104440.71+440358.1,1237660634386137189,0.84
SDSS J130817.52+520028.6,1237661958830293259,0.7
SDSS J220220.09+115132.3,1237656241159471631,0.58
SDSS J234845.08+155543.5,1237656243318423746,0.67
SDSS J145626.28+480035.0,1237659119862677672,0.65
SDSS J095302.61+075029.3,1237660583905657083,0.53
SDSS J082603.47+253540.4,1237661086957371684,0.75
SDSS J144625.03+434956.7,1237661211509260472,0.59
SDSS J011431.30+004730.2,1237663204922294497,0.67
SDSS J081752.38+210637.5,1237664091822555179,0.51
SDSS J140253.49+085329.6,1237662237477568671,0.64
SDSS J162647.29+330451.3,1237662501082955990,0.53
SDSS J160436.08+081817.5,1237662636912869696,0.53
SDSS J160433.46+235015.6,1237662698112090273,0.82
SDSS J231923.19+010733.8,1237663463143768239,0.76
SDSS J080611.42+530850.5,1237663786882236685,0.58
SDSS J074806.95+500648.5,1237663917338525929,0.52
SDSS J095710.34-010527.3,1237651799623205033,0.64
SDSS J114429.46+330321.2,1237665331459719291,0.83
SDSS J113024.83+560826.5,1237661352167407674,0.65
SDSS J152503.24+481141.6,1237661388147196050,0.84
SDSS J164427.98+260412.6,1237662504299659400,0.51
SDSS J141827.97+125259.0,1237662529529511944,0.76
SDSS J092206.20+035350.1,1237654605854081247,0.6
SDSS J143216.95+333526.5,1237664854181937210,0.76
SDSS J154123.90+200231.4,1237665428643184819,0.81
SDSS J142618.31+250037.9,1237665533323444392,0.65
SDSS J152505.22+195005.3,1237665549433438459,0.79
SDSS J091311.83+244121.8,1237667113868918886,0.79
SDSS J140517.75+093813.9,1237662238551507178,0.68
SDSS J150228.76+285815.6,1237662695958183997,0.82
SDSS J033241.15-011100.9,1237663237129699462,0.68
SDSS J154310.62+011943.8,1237655468602163435,0.82
SDSS J130510.15+152606.6,1237664291543777433,0.82
SDSS J122938.59+261350.0,1237667448878268559,0.8
SDSS J120025.25+213331.0,1237667733970026568,0.59
SDSS J215122.17+111933.2,1237656241158291953,0.8
SDSS J095810.79+340012.7,1237662224591814745,0.72
SDSS J164337.87+214128.6,1237662666964861266,0.58
SDSS J132125.68+144343.0,1237664291008675940,0.73
SDSS J081825.78+204714.9,1237664836462051537,0.79
SDSS J111108.60+313552.1,1237665369043959893,0.78
SDSS J120246.01+301408.4,1237667254551052396,0.6
SDSS J112202.06+255515.2,1237667322177585279,0.8
SDSS J142554.66+163757.0,1237668271367520481,0.73
SDSS J163446.01+451927.5,1237671934427987980,0.62
SDSS J112227.00+350644.6,1237665129612574725,0.59
SDSS J132023.52+261833.1,1237667322726055960,0.69
SDSS J134938.57+180556.4,1237668271363719231,0.58
SDSS J121102.54+365953.9,1237664818213683279,0.72
SDSS J120404.32+065430.5,1237671127518740623,0.76
SDSS J091015.47+490934.6,1237655107828514932,0.73
SDSS J144538.06+413247.7,1237661434856800418,0.74
SDSS J134509.06+121220.1,1237661817639862465,0.76
SDSS J122059.60+460701.6,1237661852543221890,0.82
SDSS J145430.06+101910.2,1237662199892410379,0.78
SDSS J160640.18+300556.6,1237662335719309348,0.6
SDSS J163950.58+282725.7,1237662499474637172,0.53
SDSS J095534.17+683706.0,1237663787964760224,0.81
SDSS J132451.67+133452.5,1237664289398456365,0.77
SDSS J104559.97+455539.9,1237661358611103787,0.78
SDSS J144157.05+261501.5,1237665350245220487,0.6
SDSS J111008.21+352520.9,1237664337175904437,0.77
SDSS J160842.65+163014.9,1237665532797649375,0.75
SDSS J105350.53+165059.2,1237668496313548897,0.72
SDSS J214129.91+005340.8,1237678595927834701,0.83
SDSS J120456.25+211425.7,1237667781222596633,0.55
SDSS J114458.03+163449.8,1237668494708244501,0.71
SDSS J114016.98+174340.3,1237668496318398520,0.75
SDSS J132205.58+104229.5,1237671990800023754,0.81
SDSS J115316.94+232752.2,1237667736653660255,0.62
SDSS J100105.40+165619.8,1237668289618444433,0.63
SDSS J101502.34+143620.9,1237671260670656593,0.63
SDSS J112513.26+322022.0,1237665330921078933,0.83
SDSS J140203.59+263749.3,1237665427559022786,0.82
SDSS J134704.57+245947.3,1237665548349538427,0.67
SDSS J140211.03+251935.3,1237665549424722005,0.83
SDSS J075209.95+380108.2,1237653588480164352,0.79
SDSS J091132.37+155936.9,1237670449985880245,0.6
SDSS J080830.63+191230.4,1237673808118481283,0.71
SDSS J102424.22+280134.0,1237667255615357095,0.53
SDSS J120638.07+254500.7,1237667448339169350,0.78
SDSS J110734.65+242629.3,1237667912196685925,0.81
SDSS J083307.60+093443.9,1237671123757629815,0.84
SDSS J085254.99+030908.4,1237654601556033873,0.79
SDSS J151918.92+130733.9,1237668350289772834,0.58
SDSS J161606.01+414859.6,1237665356696584454,0.64
SDSS J152254.81-005343.2,1237655693554614567,0.77
SDSS J154143.35+231213.3,1237665374404870351,0.72
SDSS J144813.13+241835.4,1237665441526579450,0.81
SDSS J122719.96+310157.4,1237665443123298334,0.82
SDSS J091107.07+224332.7,1237667255607754928,0.79
SDSS J123741.16+270746.4,1237667322721861660,0.51
SDSS J111751.65+234518.9,1237667549810131030,0.6
SDSS J145115.57+162204.2,1237668272443883786,0.74
SDSS J144248.64+135552.2,1237668331491360859,0.8
SDSS J095212.68+173536.7,1237667781745705111,0.55
SDSS J220711.49-072943.5,1237680240901292091,0.6
SDSS J131523.60+125342.2,1237671955902693480,0.81
SDSS J115844.37-023843.9,1237650370481815673,0.54
SDSS J110234.91+503456.2,1237657628987031575,0.65
SDSS J144500.22+012430.7,1237651735775019302,0.74
SDSS J143245.52+015238.8,1237651753490186430,0.55
SDSS J102733.56+042800.3,1237654601566388473,0.68
SDSS J142129.75+050423.5,1237654881274036322,0.53
SDSS J113541.07+484813.2,1237658611982270552,0.52
SDSS J171147.78+281927.2,1237659326572462638,0.71
SDSS J155326.47+520511.9,1237655129834717241,0.62
SDSS J164108.59+402517.4,1237655474505449864,0.77
SDSS J144728.26-013802.1,1237655499209310351,0.78
SDSS J121737.85+514909.0,1237657628455338050,0.65
SDSS J103846.76+054148.8,1237658297923928104,0.53
SDSS J165638.51+270310.6,1237659119876374954,0.83
SDSS J145503.30+024233.4,1237651737386680607,0.59
SDSS J012358.45-094957.7,1237652616740536497,0.67
SDSS J100654.66-011359.1,1237654668662603963,0.67
SDSS J121917.57+055233.2,1237655126619979842,0.75
SDSS J172331.93+272731.3,1237655502964785714,0.72
SDSS J121221.43+680712.9,1237658609296736424,0.77
SDSS J163348.87+355318.5,1237659163351777460,0.72
SDSS J032646.61-003853.4,1237660239777562754,0.69
SDSS J105321.41+120507.3,1237660670895259772,0.65
SDSS J101000.24+115459.6,1237661068712476729,0.66
SDSS J112519.04+634345.2,1237654875357708432,0.54
SDSS J131208.86+035202.5,1237654879119015973,0.65
SDSS J164458.21+390518.7,1237655501884883244,0.58
SDSS J121722.45+533323.4,1237657858221670526,0.84
SDSS J150530.15+481054.7,1237659161195446326,0.66
SDSS J151449.06+464045.7,1237659133286285390,0.64
SDSS J120049.26+152704.3,1237661070334951462,0.51
SDSS J131208.85+451040.0,1237661874018189475,0.84
SDSS J131058.62+010842.5,1237648722849104090,0.6
SDSS J113109.68+671410.0,1237651272972238902,0.69
SDSS J165243.49+392212.3,1237655130378731609,0.62
SDSS J133157.29-025622.9,1237655498127245603,0.51
SDSS J213610.51+103756.0,1237656494561362386,0.61
SDSS J085710.39+424522.9,1237657118949965866,0.7
SDSS J152837.94+505027.0,1237659150999027837,0.59
SDSS J080657.31+250050.5,1237660561358258432,0.51
SDSS J081652.61+262729.3,1237660958108221730,0.68
SDSS J074938.48+401110.7,1237651191888281850,0.79
SDSS J131547.30-002744.2,1237651203157852378,0.69
SDSS J143719.96+594805.8,1237654398626496607,0.71
SDSS J142817.99+571018.4,1237655463239155886,0.65
SDSS J140022.02-021857.2,1237655498667262104,0.51
SDSS J153812.20+422819.2,1237659119329804440,0.74
SDSS J013720.99+142746.5,1237649954405548158,0.62
SDSS J104941.28+601735.7,1237653617471520969,0.61
SDSS J155238.38+330707.9,1237661464376901879,0.62
SDSS J113023.44+044145.8,1237654605331169411,0.76
SDSS J133823.75+572002.0,1237655106771943493,0.81
SDSS J152642.60-012113.0,1237655499213570428,0.74
SDSS J142409.05+061127.5,1237655743478104176,0.7
SDSS J075816.66+271029.5,1237657773924352229,0.72
SDSS J111850.98+073117.0,1237658424094949468,0.83
SDSS J135945.21-030257.6,1237655493834899638,0.8
SDSS J081341.07+220413.0,1237661085344858493,0.78
SDSS J153730.60+564351.9,1237651538186141869,0.64
SDSS J132106.27+021658.5,1237651736302715073,0.65
SDSS J091706.03+483429.2,1237657771780210829,0.6
SDSS J105225.71+083327.3,1237658491735179378,0.77
SDSS J170532.39+242956.8,1237659153686856106,0.56
SDSS J091716.85+320108.9,1237661137417339004,0.54
SDSS J131535.73+002931.9,1237648705120763908,0.53
SDSS J084715.58+511444.9,1237651250412060799,0.75
SDSS J101924.44+635925.0,1237651272431829116,0.51
SDSS J144239.23+052103.5,1237655742943264876,0.8
SDSS J101143.53+371307.4,1237661137422712927,0.64
SDSS J150557.07+381640.0,1237661433248350319,0.67
SDSS J163041.34+443048.5,1237651250979340465,0.77
SDSS J022523.22-075024.6,1237653472514670623,0.55
SDSS J083125.79+405722.3,1237657595152171182,0.67
SDSS J084825.51+353655.1,1237658204493840431,0.77
SDSS J102038.81+562006.3,1237658303277629603,0.59
SDSS J092401.09+051233.8,1237658423545561106,0.81
SDSS J102049.95+112219.8,1237660670891786274,0.53
SDSS J122450.66+451542.8,1237661851469807696,0.79
SDSS J102527.09+402622.1,1237661871857336438,0.74
SDSS J104948.04+654200.3,1237651538708267060,0.74
SDSS J220141.63+115124.4,1237652942625767592,0.76
SDSS J233634.43-093131.9,1237653441912635579,0.76
SDSS J115909.55+630321.6,1237655370897686550,0.83
SDSS J120611.88+494524.4,1237658204510552170,0.74
SDSS J105619.71+434517.6,1237661851999731863,0.64
SDSS J141014.52+112821.2,1237661950266376466,0.58
SDSS J084227.27-000842.6,1237648721209131256,0.67
SDSS J111839.63+551040.3,1237657591930224711,0.73
SDSS J080419.29+330842.7,1237657593537429567,0.7
SDSS J133525.25+562420.3,1237661387602198768,0.77
SDSS J120310.16+413737.8,1237661966355005548,0.81
SDSS J013838.48+004429.4,1237657071694774487,0.62
SDSS J082057.66+401727.2,1237654652026552610,0.53
SDSS J101418.44+063046.4,1237658299531919540,0.8
SDSS J094421.13+394959.4,1237660634917765291,0.79
SDSS J132329.23+490047.7,1237661151379980368,0.69
SDSS J114425.52+113343.6,1237661811734151335,0.64
SDSS J114921.00+125848.0,1237661813345353790,0.78
SDSS J121716.54+124742.8,1237661950254252151,0.63
SDSS J083235.14+262618.7,1237661125076254878,0.79
SDSS J112745.95+060839.1,1237661970106155062,0.79
SDSS J100303.39+453552.7,1237657875406717117,0.64
SDSS J162109.60+210429.8,1237662223554314614,0.76
SDSS J141538.37+362230.2,1237662225151295617,0.8
SDSS J121008.51+390308.6,1237664667371044924,0.68
SDSS J111537.21+325249.9,1237665015240065196,0.58
SDSS J033329.45-065148.2,1237649962456645729,0.75
SDSS J143600.41+602903.9,1237651250969116836,0.55
